   	id	num	rop	 +	 -	 *	 /	 %	 =	->	 !	 .	 ,	 &	++	--	+=	-=	 (	 )	 {	 }	 [	 ]	 :	 ;	 "	 '	 #	 |	 \	if	else	while	do	for	include	define	typedef	struct	int	char	float	double	void	return	case	then	true	false	||	&&	eof	 $	
 25	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r16	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r16	s40	e	e	
 26	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r18	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r18	r18	e	e	
 27	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s41	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s39	e	e	e	
 28	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r 2	e	e	e	r 2	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r 2	
 29	e	e	e	s30	s31	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s42	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 30	s12	s13	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s14	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 31	s12	s13	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s14	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 32	s12	s13	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s14	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 33	s12	s13	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s14	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 34	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r24	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r24	r24	e	e	
 35	e	e	s37	s30	s31	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s42	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 36	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s47	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s39	e	e	e	
 37	s12	s13	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s14	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 38	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s49	e	e	e	e	e	e	
 39	s12	s13	e	e	e	e	e	e	e	e	s19	e	e	e	e	e	e	e	s20	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s21	s22	e	e	e	e	
 40	s12	s13	e	e	e	e	e	e	e	e	s19	e	e	e	e	e	e	e	s20	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s21	s22	e	e	e	e	
 41	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s52	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
